100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000	3100	3200	3300	3400	3500	3600	3700	3800	3900	4000	
1.2	4.76667	9	15.9	23.1	48.6667	46.5333	61.6667	71.6	89.9	117.4	128.233	148.433	202.567	187.3	205	230.1	257.867	288.933	311.567	342	374.433	409.667	448.9	489.533	518.833	559.2	597.733	641.767	682.233	731.033	777.833	822.033	874.033	925.433	982.9	1033.8	1091.27	1139.77	1197.03	
